id,nazev,typ,adresa1,adresa2,adresa3,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
000638226,Střední škola,C00,Ječná 530/27,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,7241M01,Informační služby,10,40,50,Praha 2
150065591,Střední škola,C00,Výmolova 169/2,Radlice,150 00 Praha 5,Praha 5,Hlavní město Praha,5344M03,Asistent zubního technika,10,40,34,Praha 5
130001902,Střední škola,C00,Jablonského 333/3,Holešovice,170 00 Praha 7,Praha 7,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,580,Praha 7
130001376,Střední škola,C00,U Měšťanských škol 525/1,Kobylisy,182 00 Praha 8,Praha 8,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,256,Praha 8
014891221,Střední škola,C00,Novoborská 610/2,Prosek,190 00 Praha 9,Praha 9,Hlavní město Praha,1820M01,Informační technologie,10,40,272,Praha 9
110026012,Střední škola,C00,Lipí 1911/22,Horní Počernice,193 00 Praha 9,Praha 9,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,256,Praha 9
110025725,Střední škola,C00,Učňovská 100/1,Hrdlořezy,190 00 Praha 9,Praha 9,Hlavní město Praha,3741M01,Provoz a ekonomika dopravy,10,40,140,Praha 9
000497070,Střední škola,C00,Weilova 1270/4,Hostivař,102 00 Praha 10,Praha 10,Hlavní město Praha,1820M01,Informační technologie,10,40,360,Praha 10
110011066,Střední škola,C00,Radlická 591/115,Jinonice,158 00 Praha 5,Praha 5,Hlavní město Praha,6341M02,Obchodní akademie,10,40,84,Praha 5
061385476,Střední škola,C00,Nad Štolou 1510/1,Holešovice,170 00 Praha 7,Praha 7,Hlavní město Praha,7941K41,Gymnázium,10,40,250,Praha 7
000638196,Střední škola,C00,Přípotoční 1337/1a,Vršovice,101 00 Praha 10,Praha 10,Hlavní město Praha,7941K41,Gymnázium,10,40,570,Praha 10
110380193,Střední škola,C00,Belgická 67/25,Vinohrady,120 00 Praha 2,Praha 2,Hlavní město Praha,7941K41,Gymnázium,10,40,100,Praha 2
150078137,Střední škola,C00,Křejpského 1501/12,Chodov,149 00 Praha 4,Praha 4,Hlavní město Praha,7842M06,Kombinované lyceum,10,40,132,Praha 4
151016003,Střední škola,C00,Novomeského 2139/1,Chodov,149 00 Praha 4,Praha 4,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,160,Praha 4
151028931,Střední škola,C00,Masná 700/13,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,300,Praha 1
151038546,Střední škola,C00,Rytířská 406/10,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,400,Praha 1
181088231,Střední škola,C00,Baarova 360/24,Michle,140 00 Praha 4,Praha 4,Hlavní město Praha,7842M06,Kombinované lyceum,10,40,80,Praha 4
151040753,Střední škola,C00,Libušská 320/111,Písnice,142 00 Praha 4,Praha 4,Hlavní město Praha,8241M05,Grafický design,10,40,120,Praha 4
200001027,Střední škola,C00,Pod Táborem 102/5,Hrdlořezy,190 24 Praha 9,Praha 9,Hlavní město Praha,6842M01,Bezpečnostně právní činnost,10,40,neuvádí se,Praha 9
181002931,Střední škola,C00,Kuncova 1580/1,Stodůlky,155 00 Praha 5,Praha 5,Hlavní město Praha,7941K41,Gymnázium,10,40,360,Praha 5
181006383,Střední škola,C00,Na planině 1393/13,Krč,140 00 Praha 4,Praha 4,Hlavní město Praha,7941K41,Gymnázium,10,40,272,Praha 4
040652441,Střední škola,C00,Bělohorská 182/171,Břevnov,169 00 Praha 6,Praha 6,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,312,Praha 6
181084694,Střední škola,C00,Hornokrčská 709/3,Krč,140 00 Praha 4,Praha 4,Hlavní město Praha,7941K41,Gymnázium,10,40,100,Praha 4
181059568,Střední škola,C00,Hloubětínská 78/26,Hloubětín,198 00 Praha 9,Praha 9,Hlavní město Praha,4104M01,Rostlinolékařství,10,40,40,Praha 9
181119331,Střední škola,C00,Rajmonova 1199/4,Kobylisy,182 00 Praha 8,Praha 8,Hlavní město Praha,7941K41,Gymnázium,10,40,30,Praha 8
049704397,Střední škola,C00,Kodaňská 54/10,Vršovice,101 00 Praha 10,Praha 10,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,160,Praha 10
181096803,Střední škola,C00,Prokopova 100/16,Žižkov,130 00 Praha 3,Praha 3,Hlavní město Praha,7842M03,Pedagogické lyceum,10,40,150,Praha 3
181105527,Střední škola,C00,K cihelně 129,Satalice,190 15 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,160,Praha 9
181106451,Střední škola,C00,Rostovská 1481/2a,Vršovice,101 00 Praha 10,Praha 10,Hlavní město Praha,7842M06,Kombinované lyceum,10,40,120,Praha 10
181110393,Střední škola,C00,Učňovská 100/1,Hrdlořezy,190 00 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,30,Praha 9
181118831,Střední škola,C00,Opatovická 160/18,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,120,Praha 1
110011325,Střední škola,C00,José Martího 269/31,Veleslavín,162 00 Praha 6,Praha 6,Hlavní město Praha,6643M01,Knihkupecké a nakladatelské činnosti,10,40,138,Praha 6
110380126,Střední škola,C00,Střížkovská 32/27,Střížkov,180 00 Praha 8,Praha 8,Hlavní město Praha,7941K41,Gymnázium,10,40,97,Praha 8
181128047,Střední škola,C00,Mikulandská 134/5,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,40,Praha 1
181128331,Střední škola,C00,Masná 1000/18,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,7941K41,Gymnázium,10,40,180,Praha 1
