;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
51;510874;Střední škola;C00;Husova tř. 1846/9;České Budějovice 3;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;2844M01;Aplikovaná chemie;10;40;120.0;České Budějovice;CZ0311;40282;Husova tř.;1846/9;48.97763;14.468736;odborné vzdělání s maturitou
52;60077590;Střední škola;C00;Senovážné nám. 239/12;České Budějovice 6;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;6541L006;Kuchař;10;40;120.0;České Budějovice;CZ0311;40282;Senovážné nám.;239/12;48.974274;14.479113;odborné vzdělání s odborným výcvikem a maturitou
53;583855;Střední škola;C00;U Hřiště 527;382 32 Velešín;382 32 Velešín;38232.0;Velešín;Jihočeský kraj;1820M01;Informační technologie;10;40;150.0;Český Krumlov;CZ0312;40291;U Hřiště;527;48.834744;14.465894;informační technologie
54;12907731;Střední škola;C00;Budějovická 421/10;391 02 Sezimovo Ústí;391 02 Sezimovo Ústí;39102.0;Sezimovo Ústí;Jihočeský kraj;1820M01;Informační technologie;10;40;120.0;Tábor;CZ0317;40347;Budějovická;421/10;49.37858;14.700366;informační technologie
55;181096790;Střední škola;C00;Senovážné nám. 231/7;České Budějovice 6;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;7842M06;Kombinované lyceum;10;40;120.0;České Budějovice;CZ0311;40282;Senovážné nám.;231/7;48.973485;14.479317;odborné vzdělání s maturitou
56;181122227;Střední škola;C00;V. Talicha 1807/14;České Budějovice 2;370 05 České Budějovice;37005.0;České Budějovice;Jihočeský kraj;7941K41;Gymnázium;10;40;72.0;České Budějovice;CZ0311;40282;V. Talicha;1807/14;48.985019;14.446822;gymnázium
57;102007926;Střední škola;C00;Seifertova 33/13;678 01 Blansko;678 01 Blansko;67801.0;Blansko;Jihomoravský kraj;7941K41;Gymnázium;10;40;260.0;Blansko;CZ0641;40703;Seifertova;33/13;49.360999;16.646664;gymnázium
58;102007942;Střední škola;C00;Nad Čertovkou 2272/18;678 01 Blansko;678 01 Blansko;67801.0;Blansko;Jihomoravský kraj;5341M01;Zdravotnický asistent;10;40;126.0;Blansko;CZ0641;40703;Nad Čertovkou;2272/18;49.351678;16.656366;odborné vzdělání s maturitou
59;108028135;Střední škola;C00;Komenského 240;Rájec;679 02 Rájec-Jestřebí;67902.0;Rájec-Jestřebí;Jihomoravský kraj;7941K41;Gymnázium;10;40;96.0;Blansko;CZ0641;40703;Komenského;240;49.412824;16.636986;gymnázium
60;107870738;Střední škola;C00;náměstí 9. května 2153/2a;680 11 Boskovice;680 11 Boskovice;68011.0;Boskovice;Jihomoravský kraj;1820M01;Informační technologie;10;40;100.0;Blansko;CZ0641;40703;náměstí;2153/2a;49.48924;16.664213;informační technologie
61;102104522;Střední škola;C00;Tišnovská 15;679 23 Lomnice;679 23 Lomnice;67923.0;Lomnice;Jihomoravský kraj;6542M01;Hotelnictví;10;40;240.0;Brno-venkov;CZ0643;40720;Tišnovská;15;49.404156;16.411956;odborné vzdělání s maturitou
62;102007934;Střední škola;C00;Palackého náměstí 222/1;680 11 Boskovice;680 11 Boskovice;68011.0;Boskovice;Jihomoravský kraj;7941K41;Gymnázium;10;40;406.0;Blansko;CZ0641;40703;Palackého náměstí;222/1;49.49124;16.65717;gymnázium
63;110250141;Střední škola;C00;Tyršova 500/6;679 61 Letovice;679 61 Letovice;67961.0;Letovice;Jihomoravský kraj;2641L01;Mechanik elektrotechnik;10;40;96.0;Blansko;CZ0641;40703;Tyršova;500/6;49.545521;16.571869;odborné vzdělání s odborným výcvikem a maturitou
64;102007993;Střední škola;C00;Komenského 343/5;680 11 Boskovice;680 11 Boskovice;68011.0;Boskovice;Jihomoravský kraj;7531M01;Předškolní a mimoškolní pedagogika;10;40;120.0;Blansko;CZ0641;40703;Komenského;343/5;49.488906;16.657129;odborné vzdělání s maturitou
65;110027027;Střední škola;C00;Bezručova 1601/33;678 01 Blansko;678 01 Blansko;67801.0;Blansko;Jihomoravský kraj;2345L01;Mechanik seřizovač;10;40;120.0;Blansko;CZ0641;40703;Bezručova;1601/33;49.370306;16.644614;odborné vzdělání s odborným výcvikem a maturitou
66;532525;Střední škola;C00;Barvičova 666/85;Stránice;602 00 Brno;60200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;375.0;Brno-město;CZ0642;40711;Barvičova;666/85;49.202284;16.573739;gymnázium
67;558974;Střední škola;C00;Elgartova 689/3;Husovice;614 00 Brno;61400.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;360.0;Brno-město;CZ0642;40711;Elgartova;689/3;49.212051;16.632669;gymnázium
68;558982;Střední škola;C00;Vídeňská 55/47;Štýřice;639 00 Brno;63900.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;256.0;Brno-město;CZ0642;40711;Vídeňská;55/47;49.181029;16.595773;gymnázium
