,Unnamed: 0,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost,cas_cesty
51,2355,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,55069,Moravské Budějovice,49.053348,15.807336,26.669022758867463,2145
52,2357,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,102943508,Velké Meziříčí,49.351674,16.020545,15.938393496537891,1344
53,2365,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047946,Jihlava,49.386967,15.593135,19.46586188403856,1764
54,2366,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,110250591,Třebíč,49.224915,15.891465,9.186437104680214,753
55,2367,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,110250842,Velká Bíteš,49.291349,16.222598,29.206973228955786,2342
56,2824,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,401048,Polička,49.712635,16.267944,23.97153797711865,2246
57,2842,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110100859,Skuteč,49.840165,15.993545,28.6943809039065,2954
58,3147,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102006920,Chotěboř,49.716829,15.672957,28.077219835165288,2342
59,3150,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102006954,Chotěboř,49.718219,15.671713,28.23523837361733,2356
60,3161,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,108027457,Žďár nad Sázavou,49.567574,15.933153,5.283056477354174,664
61,3162,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943508,Velké Meziříčí,49.351674,16.020545,25.66304809595485,2128
62,3163,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943494,Nové Město na Moravě,49.563758,16.072654,5.432749665094193,522
63,3164,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943516,Žďár nad Sázavou,49.565058,15.944092,4.646547551134142,432
64,3165,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943559,Žďár nad Sázavou,49.565627,15.943057,4.689506884847468,421
65,3166,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,19.767641311197472,1668
66,3167,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110026179,Žďár nad Sázavou,49.566429,15.93214,5.392663938856029,617
67,3169,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110031334,Žďár nad Sázavou,49.557691,15.939988,5.289624983793585,595
68,3240,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,102403562,Dačice,49.083139,15.428631,16.020425511542076,1367
69,3956,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047741,Jihlava,49.397998,15.585825,24.545564261939894,1927
70,3957,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047750,Telč,49.182964,15.44864,10.673427782279866,919
71,3958,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047920,Jihlava,49.397335,15.583685,24.47668875668092,1784
72,3959,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047792,Jihlava,49.398965,15.586577,24.651599572158904,1894
73,3960,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047938,Jihlava,49.39907,15.590673,24.657500376715,1924
74,3961,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,44065663,Třebíč,49.213896,15.885973,21.513905998447697,1632
75,3962,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,44065485,Moravské Budějovice,49.050817,15.814281,21.263014247371785,1605
76,3963,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,559237,Třebíč,49.213958,15.88156,21.20041456123161,1608
77,3964,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,566900,Třebíč,49.222974,15.867134,20.39694825371568,1707
78,3965,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,55069,Moravské Budějovice,49.053348,15.807336,20.69786352137113,1573
79,3975,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047946,Jihlava,49.386967,15.593135,23.309986479008856,1681
80,3976,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,110250591,Třebíč,49.224915,15.891465,22.16366632739172,1861
81,4752,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,367761,Humpolec,49.541758,15.35375,10.171785728735824,747
82,4753,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,72753,Pelhřimov,49.428914,15.22157,5.788887357546992,559
83,4754,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,72869,Pelhřimov,49.428138,15.219725,5.9246077906884125,606
84,4755,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,107830396,Humpolec,49.541394,15.360692,10.498041672096026,817
85,4756,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,102006881,Havlíčkův Brod,49.609084,15.580284,27.69422201949031,2012
86,4758,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,130002097,Ledeč nad Sázavou,49.694513,15.278836,24.35932345005665,1751
87,4759,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,102018006,Havlíčkův Brod,49.602624,15.579104,27.245401834933627,1880
88,4761,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047741,Jihlava,49.397998,15.585825,25.38253633268697,1902
89,4763,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047920,Jihlava,49.397335,15.583685,25.26271977133341,1801
90,4764,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047792,Jihlava,49.398965,15.586577,25.396984385997527,1869
91,4765,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047938,Jihlava,49.39907,15.590673,25.67210398112373,1816
92,4778,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,110030559,Havlíčkův Brod,49.609529,15.575103,27.405717949951484,1927
93,4780,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047946,Jihlava,49.386967,15.593135,26.318712000296767,1991
94,5566,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047741,Jihlava,49.397998,15.585825,17.612618115912962,1679
95,5567,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047750,Telč,49.182964,15.44864,28.95406849967416,2585
96,5568,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047920,Jihlava,49.397335,15.583685,17.70638878243915,1536
97,5569,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047792,Jihlava,49.398965,15.586577,17.623094466576138,1646
98,5570,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047938,Jihlava,49.39907,15.590673,17.37880151675621,1659
99,5571,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,44065663,Třebíč,49.213896,15.885973,13.097292730434496,1045
100,5572,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,44065485,Moravské Budějovice,49.050817,15.814281,29.388139003082134,2353
101,5573,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,559237,Třebíč,49.213958,15.88156,12.92872978121343,1022
102,5574,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,566900,Třebíč,49.222974,15.867134,11.54464461773814,781
103,5575,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,55069,Moravské Budějovice,49.053348,15.807336,29.08426392190634,2373
104,5576,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108027457,Žďár nad Sázavou,49.567574,15.933153,29.89262100455361,2592
105,5577,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943508,Velké Meziříčí,49.351674,16.020545,17.01383322009517,1471
106,5579,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943516,Žďár nad Sázavou,49.565058,15.944092,29.91006669700249,2484
107,5580,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943559,Žďár nad Sázavou,49.565627,15.943057,29.94167899644683,2515
108,5582,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110026179,Žďár nad Sázavou,49.566429,15.93214,29.748043573552017,2546
109,5584,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110031334,Žďár nad Sázavou,49.557691,15.939988,29.039429924409937,2420
