,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
4753,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,72753,Pelhřimov,49.428914,15.22157,5.788887357546992
4754,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,72869,Pelhřimov,49.428138,15.219725,5.9246077906884125
4755,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,107830396,Humpolec,49.541394,15.360692,10.498041672096026
4756,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,102006881,Havlíčkův Brod,49.609084,15.580284,27.69422201949031
4758,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,130002097,Ledeč nad Sázavou,49.694513,15.278836,24.35932345005665
4759,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,102018006,Havlíčkův Brod,49.602624,15.579104,27.245401834933627
4761,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047741,Jihlava,49.397998,15.585825,25.38253633268697
4763,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047920,Jihlava,49.397335,15.583685,25.262719771333412
4764,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047792,Jihlava,49.398965,15.586577,25.396984385997527
4765,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047938,Jihlava,49.39907,15.590673,25.672103981123726
4778,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,110030559,Havlíčkův Brod,49.609529,15.575103,27.405717949951484
4780,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,108047946,Jihlava,49.386967,15.593135,26.318712000296767
5566,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047741,Jihlava,49.397998,15.585825,17.612618115912962
5567,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047750,Telč,49.182964,15.44864,28.95406849967416
