PSC,obec,okres
691 08,Bořetice,Břeclav
378 53,Bořetín,Jindřichův Hradec
394 70,Bořetín,Pelhřimov
470 01,Stružnice,Česká Lípa
398 04,Mirotice,Písek
538 62,Bořice,Chrudim
344 01,Zahořany,Domažlice
341 42,Kolinec,Klatovy
415 01,Bořislav,Teplice
679 21,Bořitov,Blansko
561 64,Studené,Ústí nad Orlicí
257 23,Přestavlky u Čerčan,Benešov
691 75,Borkovany,Břeclav
512 01,Slaná,Semily
512 06,Slaná,Semily
391 81,Borkovice,Tábor
258 01,Zvěstov,Benešov
257 06,Zvěstov,Benešov
517 24,Borohrádek,Rychnov nad Kněžnou
671 78,Borotice,Znojmo
262 15,Borotice,Příbram
263 01,Borotice,Příbram
391 35,Borotín,Tábor
679 37,Borotín,Blansko
747 23,Bolatice,Opava
547 01,Borová,Náchod
380 01,Budeč,Jindřichův Hradec
569 82,Borová,Svitavy
285 22,Zbraslavice,Kutná Hora
566 01,České Heřmanice,Ústí nad Orlicí
382 03,Chvalšiny,Český Krumlov
382 08,Chvalšiny,Český Krumlov
381 01,Chvalšiny,Český Krumlov
384 92,Borová Lada,Prachatice
257 22,Pyšely,Benešov
348 02,Bor,Tachov
373 12,Borovany,České Budějovice
398 43,Borovany,Písek
295 01,Mukařov,Mladá Boleslav
346 01,Horšovský Týn,Domažlice
503 46,Libníkovice,Hradec Králové
674 01,Třebíč,Třebíč
257 56,Neveklov,Benešov
588 56,Borovná,Jihlava
544 77,Borovnice,Trutnov
257 65,Borovnice,Benešov
592 42,Borovnice,Žďár nad Sázavou
517 41,Borovnice,Rychnov nad Kněžnou
370 06,Borovnice,České Budějovice
370 07,Borovnice,České Budějovice
544 75,Borovnička,Trutnov
594 51,Borovník,Brno-venkov
335 61,Borovno,Plzeň-jih
257 65,Bernartice,Benešov
334 01,Borovy,Plzeň-jih
687 09,Boršice,Uherské Hradiště
687 63,Boršice u Blatnice,Uherské Hradiště
374 01,Čížkrajice,České Budějovice
697 01,Kyjov,Hodonín
588 05,Boršov,Jihlava
569 21,Moravská Třebová,Svitavy
571 01,Moravská Třebová,Svitavy
373 82,Boršov nad Vltavou,České Budějovice
538 63,Rosice,Chrudim
539 44,Bor u Skutče,Chrudim
571 01,Borušov,Svitavy
295 01,Boseň,Mladá Boleslav
384 81,Bošice,Prachatice
281 63,Svojšice,Kolín
373 64,Bošilec,České Budějovice
373 65,Bošilec,České Budějovice
289 33,Křinec,Nymburk
565 01,Bošín,Ústí nad Orlicí
753 62,Potštát,Přerov
680 01,Boskovice,Blansko
671 54,Boskovštejn,Znojmo
682 01,Prusy-Boškůvky,Vyškov
642 00,Brno,Brno-město
364 53,Vrbice,Karlovy Vary
538 25,Miřetice,Chrudim
683 54,Bošovice,Vyškov
397 01,Čížová,Písek
285 04,Petrovice II,Kutná Hora
277 24,Vysoká,Mělník
341 01,Horažďovice,Klatovy
385 01,Vimperk,Prachatice
356 01,Dolní Nivy,Sokolov
398 04,Boudy,Písek
264 01,Jesenice,Příbram
594 55,Skryje,Brno-venkov
256 01,Benešov,Benešov
798 61,Bousín,Prostějov
538 43,Bousov,Chrudim
783 25,Bouzov,Olomouc
549 74,Božanov,Náchod
