,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
3607,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110300602,Prostějov,49.468929,17.116801,10.02006139470051
3608,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,151035806,Olomouc,49.609506,17.265322,23.302461577649794
3989,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102519943,Kroměříž,49.297147,17.390143,17.50633053817453
3990,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102519978,Kroměříž,49.295327,17.407561,18.590141292404653
3991,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102531099,Kroměříž,49.296247,17.393855,17.773137790885993
3992,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102142262,Kroměříž,49.299787,17.391525,17.385330657989574
3993,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102519951,Holešov,49.328691,17.572632,27.447887827781024
3995,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102519986,Kroměříž,49.300648,17.379552,16.67776876940531
4015,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110009878,Kroměříž,49.291048,17.381377,17.516802053533414
4022,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,150067241,Velehrad,49.182078,17.347035,26.460411938936506
4023,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,200000055,Holešov,49.324984,17.588951,28.699860938306905
4082,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102007926,Blansko,49.360999,16.646664,22.202947568506023
4083,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102007942,Blansko,49.351678,16.656366,22.399737766498838
4084,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,108028135,Rájec-Jestřebí,49.412824,16.636986,19.495121525814326
4085,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,107870738,Boskovice,49.48924,16.664213,15.345843856073994
4087,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102007934,Boskovice,49.49124,16.65717,15.849213076130612
4088,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110250141,Letovice,49.545521,16.571869,22.749468500476322
4089,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102007993,Boskovice,49.488906,16.657129,15.858451343892584
4090,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110027027,Blansko,49.370306,16.644614,21.644604626158294
4142,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102807655,Vyškov,49.278737,16.996375,25.386634911999266
4144,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,107871173,Vyškov,49.28626,17.002315,24.756630813578955
4160,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110250249,Boskovice,49.488496,16.670565,14.890116467134042
4161,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,102007969,Jedovnice,49.341911,16.759984,18.82995290052557
4364,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,103019715,Prostějov,49.473869,17.118552,17.612933797547953
